what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196223453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196262145
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196267340
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196274158
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196274158
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196281747
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196298148
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196328085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356196359559
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1356196359809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356196360038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196363072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196365352
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1356196365368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196368383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196395780
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196395802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356196399258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196402468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196404041
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1356196404059
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196410067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196411248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196416831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196417766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196419432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356196421330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356196421682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356196422413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356196422801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356196423153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356196423505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356196423775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356196424091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356196424430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1356196424808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356196426696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356196431177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196431985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196435675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1356196457357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1356196460998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356196461303
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1356196461651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356196461897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196466781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196527158
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1356196529891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196535657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196537680
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196537765
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196537765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196541775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196548163
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196550135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196553952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196555911
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196556014
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356196564007
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196572351
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196572403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1356196601248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1356196603727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356196603946
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1356196604254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196607144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196617786
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196619797
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356196619797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196630456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356196634175
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.callhierarchy.view",1356196637124
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy",1356196637214
